Date : 2023-06-28 23:36:17
Directory : z:\InternShipApp
Total : 776 files,  4762 codes, -11 comments, 724 blanks, all 5475 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| client\src\app\admin\administration                                                                              |          3 |        261 |          5 |         36 |        302 |
| client\src\app\admin\create-edit-dialog                                                                          |          3 |        228 |          9 |         27 |        264 |
| client\src\app\admin\edit-group-dialog                                                                           |          3 |        212 |          0 |         31 |        243 |
| client\src\app\admin\edit-group-members-dialog                                                                   |          3 |        163 |          0 |         24 |        187 |
| client\src\app\admin\groups                                                                                      |          3 |        272 |          5 |         42 |        319 |
| client\src\app\authentification                                                                                  |          3 |        279 |         15 |         42 |        336 |
| client\src\app\chat-system                                                                                       |         18 |      1,905 |          0 |        228 |      2,133 |
| client\src\app\chat-system\add-edit-group-chat                                                                   |          3 |        340 |          0 |         36 |        376 |
| client\src\app\chat-system\all-chats                                                                             |          3 |        291 |          0 |         26 |        317 |
| client\src\app\chat-system\chat                                                                                  |          3 |        228 |          0 |         32 |        260 |
| client\src\app\chat-system\chat-messages                                                                         |          3 |        338 |          0 |         45 |        383 |
| client\src\app\chat-system\group-chat-details                                                                    |          3 |        363 |          0 |         45 |        408 |
| client\src\app\chat-system\group-chat-message                                                                    |          3 |        345 |          0 |         44 |        389 |
| client\src\app\error                                                                                             |          3 |        114 |          0 |         20 |        134 |
| client\src\app\forum                                                                                             |         12 |      1,275 |          0 |        144 |      1,419 |
| client\src\app\forum\add-edit-comment                                                                            |          3 |        222 |          0 |         24 |        246 |
| client\src\app\forum\add-edit-post                                                                               |          3 |        228 |          0 |         30 |        258 |
| client\src\app\forum\forum                                                                                       |          3 |        340 |          0 |         43 |        383 |
| client\src\app\forum\see-post                                                                                    |          3 |        485 |          0 |         47 |        532 |
| client\src\app\header                                                                                            |          3 |        253 |          1 |         18 |        272 |
| client\src\app\home                                                                                              |          3 |        207 |          0 |         18 |        225 |
| client\src\app\intern                                                                                            |          3 |        472 |          0 |         61 |        533 |
| client\src\app\intern\intern.dashboard                                                                           |          3 |        472 |          0 |         61 |        533 |
| client\src\app\shared                                                                                            |         96 |      7,162 |          0 |        889 |      8,051 |
| client\src\app\shared\challenge                                                                                  |         18 |      1,136 |          0 |        153 |      1,289 |
| client\src\app\shared\challenge\add-edit-challenge                                                               |          3 |        223 |          0 |         29 |        252 |
| client\src\app\shared\challenge\add-edit-solution                                                                |          3 |        171 |          0 |         15 |        186 |
| client\src\app\shared\challenge\challenges                                                                       |          3 |        300 |          0 |         32 |        332 |
| client\src\app\shared\challenge\rankings                                                                         |          3 |        132 |          0 |         29 |        161 |
| client\src\app\shared\challenge\see-solutions                                                                    |          3 |        211 |          0 |         27 |        238 |
| client\src\app\shared\challenge\solution-points                                                                  |          3 |         99 |          0 |         21 |        120 |
| client\src\app\shared\feedbacks                                                                                  |          9 |        861 |          0 |        110 |        971 |
| client\src\app\shared\feedbacks\add-edit-feedback                                                                |          3 |        370 |          0 |         48 |        418 |
| client\src\app\shared\feedbacks\feedback                                                                         |          3 |        264 |          0 |         30 |        294 |
| client\src\app\shared\feedbacks\see-feedback                                                                     |          3 |        227 |          0 |         32 |        259 |
| client\src\app\shared\groups                                                                                     |          9 |        611 |          0 |         78 |        689 |
| client\src\app\shared\groups\groups-dashboard                                                                    |          9 |        611 |          0 |         78 |        689 |
| client\src\app\shared\groups\groups-dashboard\dashboard                                                          |          3 |         70 |          0 |         13 |         83 |
| client\src\app\shared\groups\groups-dashboard\group                                                              |          3 |        303 |          0 |         32 |        335 |
| client\src\app\shared\groups\groups-dashboard\participants                                                       |          3 |        238 |          0 |         33 |        271 |
| client\src\app\shared\meetings                                                                                   |          9 |        751 |          0 |        104 |        855 |
| client\src\app\shared\meetings\edit-meeting-dialog                                                               |          3 |        361 |          0 |         46 |        407 |
| client\src\app\shared\meetings\meeting                                                                           |          3 |        315 |          0 |         44 |        359 |
| client\src\app\shared\meetings\see-meeting-participants                                                          |          3 |         75 |          0 |         14 |         89 |
| client\src\app\shared\notes                                                                                      |          6 |        426 |          0 |         54 |        480 |
| client\src\app\shared\notes\add-edit-note                                                                        |          3 |        219 |          0 |         27 |        246 |
| client\src\app\shared\notes\note                                                                                 |          3 |        207 |          0 |         27 |        234 |
| client\src\app\shared\profile                                                                                    |          3 |        210 |          0 |         18 |        228 |
| client\src\app\shared\questions                                                                                  |          6 |        495 |          0 |         56 |        551 |
| client\src\app\shared\questions\edit-dialog                                                                      |          3 |        283 |          0 |         30 |        313 |
| client\src\app\shared\questions\question                                                                         |          3 |        212 |          0 |         26 |        238 |
| client\src\app\shared\tasks                                                                                      |         15 |      1,014 |          0 |        130 |      1,144 |
| client\src\app\shared\tasks\add-edit-task                                                                        |          3 |        200 |          0 |         25 |        225 |
| client\src\app\shared\tasks\assign-task                                                                          |          3 |        189 |          0 |         28 |        217 |
| client\src\app\shared\tasks\see-all-task-solutions                                                               |          3 |        136 |          0 |         21 |        157 |
| client\src\app\shared\tasks\task                                                                                 |          3 |        326 |          0 |         40 |        366 |
| client\src\app\shared\tasks\upload-task-solution                                                                 |          3 |        163 |          0 |         16 |        179 |
| client\src\app\shared\tests                                                                                      |         18 |      1,465 |          0 |        171 |      1,636 |
| client\src\app\shared\tests\edit-groups                                                                          |          3 |          9 |          0 |          5 |         14 |
| client\src\app\shared\tests\edit-inters                                                                          |          3 |        204 |          0 |         25 |        229 |
| client\src\app\shared\tests\edit-tests                                                                           |          3 |        409 |          0 |         44 |        453 |
| client\src\app\shared\tests\see-all-results                                                                      |          3 |        117 |          0 |         17 |        134 |
| client\src\app\shared\tests\start-test                                                                           |          3 |        328 |          0 |         27 |        355 |
| client\src\app\shared\tests\test                                                                                 |          3 |        398 |          0 |         53 |        451 |
| client\src\app\shared\upload-photo                                                                               |          3 |        193 |          0 |         15 |        208 |
| client\src\app\trainer                                                                                           |          3 |        366 |          0 |         50 |        416 |
| client\src\app\trainer\trainer.dashboard                                                                         |          3 |        366 |          0 |         50 |        416 |
| client\src\environments                                                                                          |          2 |         10 |          0 |          2 |         12 |
| client\src\model                                                                                                 |         28 |        533 |          0 |         63 |        596 |
| client\src\services                                                                                              |         26 |      1,483 |          4 |        283 |      1,770 |
| client\src\services (Files)                                                                                      |          7 |        331 |          4 |         54 |        389 |
| client\src\services\data                                                                                         |         19 |      1,152 |          0 |        229 |      1,381 |
| client\src\services\data (Files)                                                                                 |          5 |        375 |          0 |         70 |        445 |
| client\src\services\data\challenge                                                                               |          2 |        117 |          0 |         29 |        146 |
| client\src\services\data\chat                                                                                    |          2 |        156 |          0 |         35 |        191 |
| client\src\services\data\forum                                                                                   |          3 |        114 |          0 |         26 |        140 |
| client\src\services\data\quiz                                                                                    |          4 |        244 |          0 |         37 |        281 |
| client\src\services\data\task                                                                                    |          3 |        146 |          0 |         32 |        178 |
| g:\                                                                                                              |        350 |    -31,241 |        -90 |     -3,124 |    -34,455 |
| g:\InternShipApp                                                                                                 |        350 |    -31,241 |        -90 |     -3,124 |    -34,455 |
| g:\InternShipApp (Files)                                                                                         |          1 |         -1 |          0 |         -1 |         -2 |
| g:\InternShipApp\API                                                                                             |        166 |     -6,284 |        -22 |     -1,476 |     -7,782 |
| g:\InternShipApp\API (Files)                                                                                     |          4 |        -73 |          0 |        -15 |        -88 |
| g:\InternShipApp\API\Controllers                                                                                 |         17 |     -1,116 |          0 |       -211 |     -1,327 |
| g:\InternShipApp\API\Data                                                                                        |         21 |     -1,972 |         -6 |       -305 |     -2,283 |
| g:\InternShipApp\API\Dtos                                                                                        |         29 |       -410 |          0 |       -175 |       -585 |
| g:\InternShipApp\API\Extensions                                                                                  |          2 |        -74 |          0 |         -3 |        -77 |
| g:\InternShipApp\API\FluentMigration                                                                             |         32 |     -1,028 |        -16 |       -182 |     -1,226 |
| g:\InternShipApp\API\FluentMigration (Files)                                                                     |          1 |        -34 |        -16 |         -6 |        -56 |
| g:\InternShipApp\API\FluentMigration\Migrations                                                                  |         31 |       -994 |          0 |       -176 |     -1,170 |
| g:\InternShipApp\API\Helpers                                                                                     |          1 |       -105 |          0 |         -3 |       -108 |
| g:\InternShipApp\API\Interfaces                                                                                  |         23 |       -339 |          0 |        -44 |       -383 |
| g:\InternShipApp\API\Interfaces (Files)                                                                          |          1 |         -8 |          0 |         -1 |         -9 |
| g:\InternShipApp\API\Interfaces\Repository                                                                       |         22 |       -331 |          0 |        -43 |       -374 |
| g:\InternShipApp\API\Models                                                                                      |         33 |       -997 |          0 |       -520 |     -1,517 |
| g:\InternShipApp\API\Properties                                                                                  |          1 |        -41 |          0 |         -1 |        -42 |
| g:\InternShipApp\API\Services                                                                                    |          1 |        -34 |          0 |         -6 |        -40 |
| g:\InternShipApp\API\Utils                                                                                       |          2 |        -95 |          0 |        -11 |       -106 |
| g:\InternShipApp\client                                                                                          |        183 |    -24,956 |        -68 |     -1,647 |    -26,671 |
| g:\InternShipApp\client (Files)                                                                                  |          7 |    -12,378 |         -3 |        -20 |    -12,401 |
| g:\InternShipApp\client\src                                                                                      |        176 |    -12,578 |        -65 |     -1,627 |    -14,270 |
| g:\InternShipApp\client\src (Files)                                                                              |          4 |       -111 |        -15 |        -37 |       -163 |
| g:\InternShipApp\client\src\app                                                                                  |        146 |    -11,139 |        -36 |     -1,403 |    -12,578 |
| g:\InternShipApp\client\src\app (Files)                                                                          |          5 |       -226 |          0 |        -15 |       -241 |
| g:\InternShipApp\client\src\app\admin                                                                            |         18 |     -1,304 |        -19 |       -181 |     -1,504 |
| g:\InternShipApp\client\src\app\admin\admin.dashboard                                                            |          3 |       -229 |          0 |        -20 |       -249 |
| g:\InternShipApp\client\src\app\admin\administration                                                             |          3 |       -242 |         -5 |        -36 |       -283 |
| g:\InternShipApp\client\src\app\admin\create-edit-dialog                                                         |          3 |       -216 |         -9 |        -26 |       -251 |
| g:\InternShipApp\client\src\app\admin\edit-group-dialog                                                          |          3 |       -203 |          0 |        -32 |       -235 |
| g:\InternShipApp\client\src\app\admin\edit-group-members-dialog                                                  |          3 |       -161 |          0 |        -24 |       -185 |
| g:\InternShipApp\client\src\app\admin\groups                                                                     |          3 |       -253 |         -5 |        -43 |       -301 |
| g:\InternShipApp\client\src\app\authentification                                                                 |          3 |       -279 |        -15 |        -43 |       -337 |
| g:\InternShipApp\client\src\app\chat-system                                                                      |         18 |     -1,798 |          0 |       -212 |     -2,010 |
| g:\InternShipApp\client\src\app\chat-system\add-edit-group-chat                                                  |          3 |       -340 |          0 |        -36 |       -376 |
| g:\InternShipApp\client\src\app\chat-system\all-chats                                                            |          3 |       -237 |          0 |        -22 |       -259 |
| g:\InternShipApp\client\src\app\chat-system\chat                                                                 |          3 |       -228 |          0 |        -32 |       -260 |
| g:\InternShipApp\client\src\app\chat-system\chat-messages                                                        |          3 |       -328 |          0 |        -44 |       -372 |
| g:\InternShipApp\client\src\app\chat-system\group-chat-details                                                   |          3 |       -317 |          0 |        -36 |       -353 |
| g:\InternShipApp\client\src\app\chat-system\group-chat-message                                                   |          3 |       -348 |          0 |        -42 |       -390 |
| g:\InternShipApp\client\src\app\error                                                                            |          3 |       -114 |          0 |        -20 |       -134 |
| g:\InternShipApp\client\src\app\forum                                                                            |         12 |     -1,201 |          0 |       -141 |     -1,342 |
| g:\InternShipApp\client\src\app\forum\add-edit-comment                                                           |          3 |       -208 |          0 |        -24 |       -232 |
| g:\InternShipApp\client\src\app\forum\add-edit-post                                                              |          3 |       -212 |          0 |        -28 |       -240 |
| g:\InternShipApp\client\src\app\forum\forum                                                                      |          3 |       -319 |          0 |        -43 |       -362 |
| g:\InternShipApp\client\src\app\forum\see-post                                                                   |          3 |       -462 |          0 |        -46 |       -508 |
| g:\InternShipApp\client\src\app\header                                                                           |          3 |       -253 |          0 |        -18 |       -271 |
| g:\InternShipApp\client\src\app\home                                                                             |          3 |       -202 |          0 |        -19 |       -221 |
| g:\InternShipApp\client\src\app\intern                                                                           |          3 |       -475 |          0 |        -60 |       -535 |
| g:\InternShipApp\client\src\app\intern\intern.dashboard                                                          |          3 |       -475 |          0 |        -60 |       -535 |
| g:\InternShipApp\client\src\app\shared                                                                           |         75 |     -4,921 |         -2 |       -644 |     -5,567 |
| g:\InternShipApp\client\src\app\shared\challenge                                                                 |         18 |     -1,085 |          0 |       -150 |     -1,235 |
| g:\InternShipApp\client\src\app\shared\challenge\add-edit-challenge                                              |          3 |       -219 |          0 |        -29 |       -248 |
| g:\InternShipApp\client\src\app\shared\challenge\add-edit-solution                                               |          3 |       -171 |          0 |        -15 |       -186 |
| g:\InternShipApp\client\src\app\shared\challenge\challenges                                                      |          3 |       -253 |          0 |        -29 |       -282 |
| g:\InternShipApp\client\src\app\shared\challenge\rankings                                                        |          3 |       -132 |          0 |        -29 |       -161 |
| g:\InternShipApp\client\src\app\shared\challenge\see-solutions                                                   |          3 |       -211 |          0 |        -27 |       -238 |
| g:\InternShipApp\client\src\app\shared\challenge\solution-points                                                 |          3 |        -99 |          0 |        -21 |       -120 |
| g:\InternShipApp\client\src\app\shared\feedback                                                                  |          3 |        -15 |          0 |         -8 |        -23 |
| g:\InternShipApp\client\src\app\shared\groups                                                                    |          9 |       -602 |          0 |        -78 |       -680 |
| g:\InternShipApp\client\src\app\shared\groups\groups-dashboard                                                   |          9 |       -602 |          0 |        -78 |       -680 |
| g:\InternShipApp\client\src\app\shared\groups\groups-dashboard\dashboard                                         |          3 |        -70 |          0 |        -13 |        -83 |
| g:\InternShipApp\client\src\app\shared\groups\groups-dashboard\group                                             |          3 |       -294 |          0 |        -32 |       -326 |
| g:\InternShipApp\client\src\app\shared\groups\groups-dashboard\participants                                      |          3 |       -238 |          0 |        -33 |       -271 |
| g:\InternShipApp\client\src\app\shared\meetings                                                                  |          9 |       -737 |          0 |       -105 |       -842 |
| g:\InternShipApp\client\src\app\shared\meetings\edit-meeting-dialog                                              |          3 |       -359 |          0 |        -46 |       -405 |
| g:\InternShipApp\client\src\app\shared\meetings\meeting                                                          |          3 |       -303 |          0 |        -45 |       -348 |
| g:\InternShipApp\client\src\app\shared\meetings\see-meeting-participants                                         |          3 |        -75 |          0 |        -14 |        -89 |
| g:\InternShipApp\client\src\app\shared\notes                                                                     |          6 |       -398 |          0 |        -53 |       -451 |
| g:\InternShipApp\client\src\app\shared\notes\add-edit-note                                                       |          3 |       -203 |          0 |        -26 |       -229 |
| g:\InternShipApp\client\src\app\shared\notes\note                                                                |          3 |       -195 |          0 |        -27 |       -222 |
| g:\InternShipApp\client\src\app\shared\profile                                                                   |          3 |       -137 |          0 |        -15 |       -152 |
| g:\InternShipApp\client\src\app\shared\questions                                                                 |          6 |       -481 |         -2 |        -56 |       -539 |
| g:\InternShipApp\client\src\app\shared\questions\edit-dialog                                                     |          3 |       -282 |          0 |        -30 |       -312 |
| g:\InternShipApp\client\src\app\shared\questions\question                                                        |          3 |       -199 |         -2 |        -26 |       -227 |
| g:\InternShipApp\client\src\app\shared\task                                                                      |          3 |        -15 |          0 |         -8 |        -23 |
| g:\InternShipApp\client\src\app\shared\tests                                                                     |         18 |     -1,451 |          0 |       -171 |     -1,622 |
| g:\InternShipApp\client\src\app\shared\tests\edit-groups                                                         |          3 |         -9 |          0 |         -5 |        -14 |
| g:\InternShipApp\client\src\app\shared\tests\edit-inters                                                         |          3 |       -204 |          0 |        -25 |       -229 |
| g:\InternShipApp\client\src\app\shared\tests\edit-tests                                                          |          3 |       -407 |          0 |        -44 |       -451 |
| g:\InternShipApp\client\src\app\shared\tests\see-all-results                                                     |          3 |       -117 |          0 |        -17 |       -134 |
| g:\InternShipApp\client\src\app\shared\tests\start-test                                                          |          3 |       -328 |          0 |        -27 |       -355 |
| g:\InternShipApp\client\src\app\shared\tests\test                                                                |          3 |       -386 |          0 |        -53 |       -439 |
| g:\InternShipApp\client\src\app\trainer                                                                          |          3 |       -366 |          0 |        -50 |       -416 |
| g:\InternShipApp\client\src\app\trainer\trainer.dashboard                                                        |          3 |       -366 |          0 |        -50 |       -416 |
| g:\InternShipApp\client\src\model                                                                                |         20 |       -383 |          0 |        -46 |       -429 |
| g:\InternShipApp\client\src\services                                                                             |          6 |       -945 |        -14 |       -141 |     -1,100 |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                         | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| g:\InternShipApp\API\API.csproj                                                                                  | XML                |        -31 |          0 |         -5 |        -36 |
| g:\InternShipApp\API\Controllers\AccountController.cs                                                            | C#                 |        -39 |          0 |        -11 |        -50 |
| g:\InternShipApp\API\Controllers\BaseAPIController.cs                                                            | C#                 |         -9 |          0 |         -2 |        -11 |
| g:\InternShipApp\API\Controllers\ChallengeController.cs                                                          | C#                 |       -169 |          0 |        -42 |       -211 |
| g:\InternShipApp\API\Controllers\ChatController.cs                                                               | C#                 |        -49 |          0 |        -11 |        -60 |
| g:\InternShipApp\API\Controllers\CommentController.cs                                                            | C#                 |        -67 |          0 |         -9 |        -76 |
| g:\InternShipApp\API\Controllers\GroupChatController.cs                                                          | C#                 |       -107 |          0 |        -26 |       -133 |
| g:\InternShipApp\API\Controllers\GroupController.cs                                                              | C#                 |        -65 |          0 |         -9 |        -74 |
| g:\InternShipApp\API\Controllers\InternGroupController.cs                                                        | C#                 |        -34 |          0 |         -6 |        -40 |
| g:\InternShipApp\API\Controllers\LoggingController.cs                                                            | C#                 |        -25 |          0 |         -4 |        -29 |
| g:\InternShipApp\API\Controllers\MeetingController.cs                                                            | C#                 |        -70 |          0 |        -11 |        -81 |
| g:\InternShipApp\API\Controllers\NoteController.cs                                                               | C#                 |        -44 |          0 |        -11 |        -55 |
| g:\InternShipApp\API\Controllers\PeopleController.cs                                                             | C#                 |       -134 |          0 |        -19 |       -153 |
| g:\InternShipApp\API\Controllers\PostsController.cs                                                              | C#                 |        -84 |          0 |        -13 |        -97 |
| g:\InternShipApp\API\Controllers\QuestionController.cs                                                           | C#                 |        -55 |          0 |        -11 |        -66 |
| g:\InternShipApp\API\Controllers\QuestionSolutionController.cs                                                   | C#                 |        -34 |          0 |         -6 |        -40 |
| g:\InternShipApp\API\Controllers\ServerConnectionController.cs                                                   | C#                 |        -18 |          0 |         -1 |        -19 |
| g:\InternShipApp\API\Controllers\TestController.cs                                                               | C#                 |       -113 |          0 |        -19 |       -132 |
| g:\InternShipApp\API\Data\ChallengeRepository.cs                                                                 | C#                 |       -109 |          0 |        -25 |       -134 |
| g:\InternShipApp\API\Data\ChallengeSolutionRepository.cs                                                         | C#                 |        -84 |          0 |        -24 |       -108 |
| g:\InternShipApp\API\Data\CommentRepository.cs                                                                   | C#                 |        -94 |          0 |        -12 |       -106 |
| g:\InternShipApp\API\Data\GroupChatMessageRepository.cs                                                          | C#                 |        -56 |          0 |        -10 |        -66 |
| g:\InternShipApp\API\Data\GroupChatRepository.cs                                                                 | C#                 |       -206 |          0 |        -26 |       -232 |
| g:\InternShipApp\API\Data\GroupRepository.cs                                                                     | C#                 |        -88 |          0 |        -15 |       -103 |
| g:\InternShipApp\API\Data\InternGroupRepository.cs                                                               | C#                 |        -76 |          0 |        -14 |        -90 |
| g:\InternShipApp\API\Data\LoggRepository.cs                                                                      | C#                 |        -39 |          0 |         -8 |        -47 |
| g:\InternShipApp\API\Data\MeetingRepository.cs                                                                   | C#                 |       -250 |         -4 |        -21 |       -275 |
| g:\InternShipApp\API\Data\MessageRepository.cs                                                                   | C#                 |        -70 |          0 |        -14 |        -84 |
| g:\InternShipApp\API\Data\NoteRepository.cs                                                                      | C#                 |        -52 |          0 |        -13 |        -65 |
| g:\InternShipApp\API\Data\PasswordLinkRepository.cs                                                              | C#                 |        -34 |          0 |         -8 |        -42 |
| g:\InternShipApp\API\Data\PersonRepository.cs                                                                    | C#                 |       -175 |          0 |        -26 |       -201 |
| g:\InternShipApp\API\Data\PostRepository.cs                                                                      | C#                 |       -101 |          0 |        -11 |       -112 |
| g:\InternShipApp\API\Data\QuestionRepository.cs                                                                  | C#                 |        -71 |          0 |        -14 |        -85 |
| g:\InternShipApp\API\Data\QuestionSolutionRepository.cs                                                          | C#                 |        -37 |          0 |         -6 |        -43 |
| g:\InternShipApp\API\Data\StatsRepository.cs                                                                     | C#                 |        -51 |          0 |         -7 |        -58 |
| g:\InternShipApp\API\Data\TaskRepository.cs                                                                      | C#                 |        -66 |          0 |        -15 |        -81 |
| g:\InternShipApp\API\Data\TestInternGroupRepository.cs                                                           | C#                 |       -110 |         -2 |         -7 |       -119 |
| g:\InternShipApp\API\Data\TestQuestionRepository.cs                                                              | C#                 |        -94 |          0 |        -11 |       -105 |
| g:\InternShipApp\API\Data\TestRepository.cs                                                                      | C#                 |       -109 |          0 |        -18 |       -127 |
